"#From Adachi: Model dielectric constants of GaP, GaAs, Gasb, InP, InAs, and Insb",
#Energy (eV),#Eps2
0.166166773,0.383251108
0.182016516,0.554306733
0.22088134,0.706662198
0.267415509,0.861969663
0.365375872,1.021926952
0.476243008,1.258288385
0.584304631,1.25814543
0.774945634,1.568679441
0.975976907,2.136431561
1.161493266,2.714650122
1.359881153,3.471143678
1.463325662,5.570636335
1.556140233,6.604425251
1.672255372,8.910847165
1.744796935,13.94461149
1.837632654,16.84828921
1.948112094,14.66328883
2.063871257,14.38663923
2.184857275,15.17720427
2.251808957,15.9616953
2.365118582,17.4885299
2.470480427,15.60954072
2.552742601,14.65397013
2.655619663,14.15271735
2.768781258,13.58250714
2.871682991,13.41076347
2.96430019,13.32513096
3.064660748,13.53552091
3.170219965,14.41531158
3.278352078,15.35224593
3.365890451,16.19644193
3.479185978,17.52324207
3.569311345,18.72149087
3.682578676,19.75042209
3.860164877,20.76888111
3.860164877,20.76888111
3.777828687,20.70526692
3.970750052,19.86938946
4.070849796,15.98152678
4.163170935,12.18338286
4.265910541,10.40465845
4.389229788,8.857445816
4.471460242,8.082485399
4.584597166,7.587452893
4.684855513,7.033532773
4.767121212,6.623820484
4.854560898,6.397350328
4.967708396,6.062626272
5.055211524,6.197405062
5.13753714,6.157899048
5.13753714,6.157899048
5.207005326,6.157449295
5.260930401,5.601190332
5.345776045,5.30828115
5.464016467,4.798044919
5.597740081,4.518308198
5.664589553,4.336477598
5.767466614,4.188144315
5.875457746,3.931651968
5.986000627,3.621663968
